#churn_class_label,num_questions,num_answers,num_answers_recvd,a_score,q_score,a_score_stddev,q_score_stddev,relative_rank_pos,answering_speed,mean_rep_co_answerers,mean_rep_answerers,mean_rep_questioner,time_for_first_ans,a_q_ratio,a_post_length,q_post_length,a_comments,q_comments,num_q_answered,mean_max_rep_answerer,mean_accepted_answerer_rep,qrep1,qrep2,qrep3,qrep4,gap1,gap2,gap3,gap4,gap5
-1,0,5,,0,,0,,1,643601,,,234,,6,1538,0,0,,0,,,37,139.5,819,,0,3,10,27708,3
-1,1,4,2,0,1,0,0,1,142847,,42970,180,274,2.5,65,1570,1,2,1,85583,357,13.6667,,679,,4,449956,3564,22,5365
-1,4,1,1.75,2,1,0,1,1,4347,,2895,1563,816,0.4,94,2905,0,0,4,4589,6104,,,1563,,19,4347,28722,61644,46837
-1,4,1,4,0,1,0,1,1,23,,19535,57,16,0.4,932,1058,0,1,4,39325,25983,57,,,,22,7808,23,62850,11658
-1,0,5,,2,,2,,2,39957,,,344,,6,1038,0,0,,0,,,37,275.333,859,,22,12,15,4325,194
-1,1,4,1,2,3,2,0,1,575772,,7626,4033,604558,2.5,120,763,0,0,1,7626,,,395,,5852.5,28828,277223,11965,2880,228227
-1,0,5,,4,,4,,3,30710,,,10694,,6,436,0,0,,0,,,,,,10694,127041,201032,4,62390,9
-1,0,5,,1,,1,,1,4268,,,1486,,6,459,0,0,,0,,,8,429,988,3003,40,26,18,16918,159
-1,5,0,1.4,,0,,0,,,,64134,,1613,0.166667,0,1148,,2,5,74423,103091,,,,,5,2788,1343,153,61
-1,5,0,2.4,,0,,0,,,,7269,,25,0.166667,0,641,,0,5,13789,13024,,,,,1,3896,68,4455,2898
-1,5,0,4.2,,3,,3,,,,25341,,4,0.166667,0,849,,1,5,64696,18822,,,,,533,8426,11333,90554,24391
-1,1,4,1,8,2,7,0,2,153347,,269,3594,22,2.5,936,1534,2,1,1,269,269,,,1001,4458.33,16364,1426,3,67772,368017
-1,0,5,,1,,1,,1,49,,,1332,,6,848,0,1,,0,,,11,139,631,2940.5,613658,5,19,8,16
-1,5,0,1,,2,,1,,,,10597,,88966,0.166667,0,451,,2,4,12713,8481,,,,,9,383815,17551,24385,106894
-1,4,1,1.75,0,1,0,1,1,1882,,6964,50,42,0.4,609,1769,0,1,4,11053,14663,50,,,,3930,1882,1187,3124,94
-1,1,4,3,0,8,0,0,1,10,,2085,927,26,2.5,234,1372,1,0,1,5842,5842,45,175,619,2867,21,1890,888,3,6
-1,4,1,2,1,1,0,1,3,1070,,7770,47,449,0.4,1305,932,0,1,4,21294,41189,47,,,,19,67889,192987,5729,1070
-1,1,4,1,2,0,2,0,1,30,,18026,65,50,2.5,589,248,2,0,1,18026,18026,3.5,125.5,,,7712,1422,25642,11,28
-1,5,0,2.4,,0,,0,,,,7070,,2098,0.166667,0,1004,,1,5,17127,23878,,,,,161583,6622,60465,303147,69795
-1,2,3,2,1,1,1,0,1,182016,,2782,642,140,1.33333,533,301,1,2,2,6237,748,36,218,,1672,21005,113627,4970,11,39144
-1,3,2,2.33333,1,1,0,0,2,158662,,1363,80,552,0.75,537,724,0,2,3,2606,414,21,139,,,6126,1395,346,2156,357
-1,2,3,4.5,1,4,1,2,2,69716,,7249,2646,87,1.33333,546,2897,1,0,2,25324,19510,56,173,,7708,458,37656,69246,22449,397463
-1,0,5,,1,,1,,1,9118,,,247,,6,521,0,1,,0,,,21.6667,285,887,,0,38,27300,80686,8496
-1,5,0,1.4,,0,,0,,,,8508,,470,0.166667,0,1817,,1,4,14129,13455,,,,,3400,8620,53251,243545,1559
-1,1,4,1,1,7,1,0,1,902862,,91,78,142852,2.5,723,1826,0,1,1,91,,6,102.333,,,754825,67,1575,1235,23
-1,0,5,,1,,1,,2,14412,,,4674,,6,834,0,0,,0,,,,390,,5745,45,8691,120,2883,178
-1,4,1,0.75,0,0,0,0,1,926012,,8782,1369,79626,0.4,96,555,0,0,3,8782,13172,,,1369,,302392,11838,2942,100822,41
-1,4,1,1.75,1,1,0,2,2,2,,2100,1,11,0.4,188,3080,1,3,3,3556,1444,1,,,,17,6863,161,58,5
-1,0,5,,1,,2,,2,165204,,,8054,,6,275,0,0,,0,,,66,,468,13246,139797,1467,26,56,143
-1,1,4,1,1,1,1,0,1,38,,8410,17,293,2.5,185,1982,0,5,1,8410,8410,17,,,,3080,227,100,21,113
-1,4,1,3.75,0,2,0,1,1,170,,41298,53,6,0.4,337,1281,0,1,4,119148,232678,53,,,,0,14065,170,3,315
-1,2,3,4,2,2,2,1,2,78598,,5412,9394,1751,1.33333,589,1197,0,1,2,8866,4678,,,588,13796.5,46091,46,10,10167,60797
-1,5,0,1.8,,1,,0,,,,70344,,3,0.166667,0,892,,0,5,75951,74134,,,,,2,7361,19844,10156,21626
-1,1,4,6,1,0,1,0,2,1117,,9810,3744,22,2.5,570,407,1,0,1,23827,,,,1296,4560,56243,617,802,298,362
-1,5,0,6,,1,,1,,,,38730,,5,0.166667,0,418,,2,5,122245,16534,,,,,83772,22,1422,25,1198
-1,5,0,2,,1,,2,,,,7157,,9,0.166667,0,715,,1,5,7658,1253,,,,,21,1060,123787,381,5215
-1,2,3,7,3,12,2,10,2,4144,,2997,2572,524,1.33333,470,1039,2,0,2,7388,1459,,,1424.5,4868,0,11,7,233,758
-1,3,2,2.33333,1,0,1,0,1,201527,,6073,719,168120,0.75,371,762,1,0,3,12880,,,,718.5,,16742,51556,42078,16940,6
-1,3,2,2.33333,0,2,0,1,1,705,,13595,1128,114,0.75,186,1067,0,2,3,28286,27935,,169,,2086,31,180,145630,64661,1405
-1,0,5,,1,,1,,2,11,,,485,,6,514,0,1,,0,,,4.5,425,994.5,,7211,1066,358,1098,150
-1,2,3,4.5,1,3,1,2,1,1139,,22191,902,4,1.33333,549,1149,0,0,2,102539,23380,,,902,,865,257,2666,647,525
-1,5,0,2.6,,0,,0,,,,22371,,144,0.166667,0,1777,,1,5,46719,44656,,,,,16,1685,97839,23355,799826
-1,1,4,1,1,2,1,0,1,1312,,117,72,2567,2.5,467,558,1,0,1,117,117,20,124.5,,,4,47,758,1761,2719
-1,0,5,,1,,1,,1,12,,,460,,6,849,0,3,,0,,,2,349,650.333,,387684,126663,9886,5931,136
-1,0,5,,1,,1,,2,10397,,,893,,6,616,0,0,,0,,,,313,1086,,12,30236,6,5,40301
-1,5,0,1,,0,,1,,,,22048,,156,0.166667,0,465,,4,4,26026,95,,,,,58812,2722,7659,7915,2185
-1,0,5,,2,,1,,2,1046,,,2313,,6,250,0,1,,0,,,66,85,1353,5030,80882,1244,67,483,22947
-1,0,5,,6,,5,,3,151339,,,5291,,6,1079,0,0,,0,,,25,,,6607.5,0,2924,5,4,5
-1,5,0,2.6,,0,,1,,,,21246,,7,0.166667,0,502,,1,5,53774,,,,,,4,56528,116136,129529,11694
-1,2,3,0.5,0,1,0,0,1,152242,,262,66,764,1.33333,723,1899,0,0,1,262,,21,157,,,0,324095,14759,11051,11
-1,0,5,,1,,1,,3,286571,,,435,,6,413,0,0,,0,,,3,173,913.5,,2542,5859,112,440,5
-1,5,0,2.2,,2,,2,,,,25511,,80,0.166667,0,586,,1,5,59109,66285,,,,,3,34892,200348,30241,36621
-1,5,0,1.4,,1,,1,,,,11342,,157750,0.166667,0,382,,0,5,14469,5321,,,,,0,1313,15849,373,4064
-1,2,3,1.5,1,4,0,2,1,340983,,7197,1404,68,1.33333,191,2256,1,3,2,7298,7298,46.5,,,4119,6349,61412,620540,5615,1219
-1,0,5,,1,,1,,1,370306,,,3554,,6,976,0,1,,0,,,1,170,,5866.67,1,20,132681,8351,26
-1,0,5,,1,,1,,1,597,,,122,,6,1104,0,2,,0,,,8,198.333,,,8088,14094,5813,373,2778
-1,3,2,2,3,3,1,2,3,231493,,1322,262,20751,0.75,615,3083,1,0,3,1618,1160,,261.5,,,14,59274,2144,666,751
-1,5,0,1.6,,0,,1,,,,592,,40097,0.166667,0,1294,,0,5,802,517,,,,,5743,234676,17251,21502,21541
-1,3,2,1.33333,1,1,0,0,1,1034,,954,33,827,0.75,1572,1824,1,0,3,1345,1620,33,,,,6,96580,1041,432,1026
-1,4,1,2,0,1,0,2,1,4310,,20261,58,73,0.4,131,1121,0,4,4,23045,20285,58,,,,241,4310,19207,28884,3732
-1,1,4,4,2,0,2,0,1,19552,,19683,520,3,2.5,430,800,2,0,1,75243,601,13,146,960,,0,16424,3581,13580,3531
-1,5,0,2,,1,,1,,,,7853,,470,0.166667,0,1063,,2,5,16702,16653,,,,,563,1540,14956,38317,708
-1,2,3,3.5,0,10,0,10,1,177769,,1077,307,46685,1.33333,427,636,0,3,2,4640,2398,45,,568,,10,7190,31905,11413,8
-1,4,1,1,0,0,0,0,1,1841,,1688,3,84,0.4,6135,1222,0,1,2,3381,2965,3,,,,5,682,1024,1841,2852
-1,2,3,2.5,1,0,1,0,1,213018,,2208,944,10,1.33333,248,1624,0,2,2,6657,6657,3,301,,2529,11,943,7734,1,227021
-1,1,4,8,4,4,6,0,2,611,,10113,7489,3,2.5,519,926,1,0,1,32446,23336,,,1437,13541.5,16,1217,121,8392,7202
-1,5,0,2.8,,1,,1,,,,8360,,311234,0.166667,0,717,,1,5,25398,,,,,,2,11531,1648,2543,2970
-1,3,2,2.66667,0,1,0,1,1,111,,43389,33,11,0.75,102,1203,0,3,3,120802,118563,33,,,,0,4309,21,689,310196
-1,0,5,,1,,0,,1,195108,,,1623,,6,566,0,1,,0,,,52,209,572,6712,6,151297,3,154292,1142
-1,0,5,,1,,2,,1,8054,,,71,,6,980,0,0,,0,,,24,94,,,7,8,6,11,9
-1,5,0,1.2,,0,,0,,,,5226,,4,0.166667,0,586,,1,5,5253,2583,,,,,3,4418,152,171320,5811
-1,5,0,5.2,,4,,2,,,,12572,,9,0.166667,0,785,,2,5,43060,5382,,,,,6119,204,9850,106803,679549
-1,3,2,4.33333,0,2,0,1,1,255499,,17177,1717,193,0.75,257,436,0,0,3,29496,20886,,,556,2877,25668,79927,768,1437,11680
-1,4,1,2.75,0,2,0,3,1,892,,4013,127,16,0.4,403,1485,0,1,4,11025,668,,127,,,67361,5872,2592,10553,892
-1,5,0,1.2,,1,,2,,,,1309,,12266,0.166667,0,277,,1,4,1486,1897,,,,,11,84775,199,52827,2899
-1,1,4,3,2,1,2,0,2,6477,,48613,616,6,2.5,415,307,0,0,1,136425,136425,58,95,1154.5,,0,7263,9357,38,710
-1,3,2,1.33333,2,1,2,1,1,4,,3373,583,24,0.75,302,479,0,1,3,5032,2171,,212,954,,2488,15102,2665,76,166
-1,2,3,1,0,2,0,0,1,55138,,92861,132,70,1.33333,385,946,0,0,1,185539,183,24,186.5,,,14,1544,37470,41668,355617
-1,3,2,1,2,1,0,0,1,221,,5894,3372,75505,0.75,149,562,1,1,3,5894,8546,1,,,6742,16,5435,1834,22360,1369
-1,0,5,,3,,3,,2,109709,,,16328,,6,631,0,2,,0,,,,357,1373,39269.5,4,80483,26,66,5315
-1,4,1,0.75,0,0,0,0,1,6,,1578,184,111,0.4,214,389,3,2,3,1578,1235,,184,,,155466,169,1397,23,4308
-1,2,3,1.5,0,0,0,0,1,15448,,68542,4013,189897,1.33333,259,1204,0,1,2,119557,239042,,,995,10050,0,132240,5932,9,10
-1,5,0,2,,-1,,2,,,,2317,,62,0.166667,0,5094,,2,5,2832,3516,,,,,12,192,4039,181,165
-1,2,3,1.5,2,4,2,4,1,135896,,192,260,17552,1.33333,359,3162,1,3,2,300,559,22,199,559,,517818,64008,6915,11838,109923
-1,2,3,3,1,2,0,2,2,5236,,7569,67,4881,1.33333,6117,5074,0,0,2,22628,22628,67,,,,0,8794,7272,2617,1680
-1,3,2,1.66667,1,0,0,0,1,20,,5871,532,9773,0.75,513,2202,0,1,3,6905,10357,46,,1017,,0,1613,61,4011,18719
-1,3,2,2,1,0,0,0,2,718335,,11728,8428,6,0.75,185,650,2,1,3,21242,8618,,,,8428,79264,2402,57783,40016,149608
-1,2,3,1,0,1,0,1,1,443181,,1670,137,21,1.33333,371,1343,0,1,2,1670,432,25,361,,,13,10256,83049,1163,4
-1,0,5,,1,,0,,1,40,,,1238,,6,532,0,0,,0,,,13,220,1435,4511,0,62,314,20,617
-1,1,4,16,0,15,0,0,1,9,,9154,10660,2,2.5,290,139,0,1,1,35714,3121,,,754,13961.7,1213,270,236,1353,7
-1,4,1,1.75,0,0,0,0,1,10,,18984,13479,10,0.4,217,400,0,1,4,20597,4549,,,,13479,10,12,4632,2911,6777
-1,1,4,1,1,0,1,0,2,3200,,5060,1946,23,2.5,955,3234,1,0,1,5060,5060,,113,1396,3138,211285,571,17885,21660,4227
-1,5,0,1.2,,0,,0,,,,13559,,82,0.166667,0,350,,1,5,17614,9504,,,,,2737,121179,145157,11373,21359
-1,0,5,,1,,1,,1,16,,,249,,6,554,0,4,,0,,,6,229.333,551,,13,3,4,21,317
-1,1,4,1,0,3,0,0,1,2196,,604,243,543853,2.5,418,928,1,0,1,604,604,1,149,672,,11,1422,18766,12932,40638
-1,1,4,2,0,4,1,0,1,24,,2931,1753,7,2.5,615,2012,1,0,1,4172,1690,,,516,3024.5,30,10,2280,380,160
-1,5,0,1.4,,0,,0,,,,72786,,1222,0.166667,0,598,,0,5,74026,2240,,,,,23,32,1653,4008,355
-1,0,5,,1,,1,,1,3125,,,433,,6,165,0,0,,0,,,30.5,217,,1669,191353,51,48,3,1268
-1,0,5,,2,,1,,1,7719,,,13839,,6,410,0,1,,0,,,40,,,17288.2,30,23,9,3274,2184
-1,4,1,2.25,0,1,0,0,1,213,,99821,47,6,0.4,535,973,0,0,4,153339,164946,47,,,,24,1902,40,10866,54932
-1,2,3,3.5,0,2,1,2,1,17,,41052,1558,8,1.33333,811,2364,1,1,2,148478,26478,20,,871,3784,0,9994,1612,13,3003
-1,5,0,1,,0,,0,,,,2404,,5513,0.166667,0,801,,0,5,2404,2404,,,,,0,28,8359,3041,41870
-1,4,1,0.75,0,1,0,1,1,627,,429,363,69295,0.4,1416,1202,0,3,3,429,829,,363,,,140386,10676,712,627,12430
-1,0,5,,1,,1,,2,16,,,485,,6,249,0,2,,0,,,11,,800.333,,17751,665,18,52,1543
-1,4,1,2,0,0,0,0,1,1281,,6782,22,89,0.4,353,1319,0,0,4,11553,13611,22,,,,146572,20185,9801,1281,54766
-1,5,0,1.2,,1,,1,,,,1844,,68370,0.166667,0,654,,3,3,4145,4145,,,,,18,99078,255088,111,1603
-1,4,1,3.5,0,3,0,5,1,10,,30137,142,41234,0.4,366,610,2,1,4,73960,62344,,142,,,0,235,1046,3566,3713
-1,1,4,1,1,6,1,0,1,6,,143,1682,5539,2.5,673,1414,1,0,1,143,143,10,179,,6529,1154953,17,37114,2789,10167
-1,0,5,,0,,0,,1,164081,,,596,,6,532,0,3,,0,,,,215,,2122,456196,3,30,28,115063
-1,4,1,2.5,0,1,0,1,1,2,,10235,3,160,0.4,84,405,0,1,4,22774,35661,3,,,,0,35877,13,10328,7166
-1,5,0,0.6,,0,,0,,,,702,,16,0.166667,0,394,,1,3,702,181,,,,,8643,294,1145,104,24797
-1,4,1,1,1,1,0,1,1,1043608,,28805,10539,25,0.4,139,1408,0,2,3,43600,23072,,,,10539,0,4560,31404,36135,276727
-1,5,0,0.4,,0,,0,,,,20874,,15391,0.166667,0,915,,3,2,20874,20874,,,,,50,10117,14307,1339,266
-1,5,0,1.6,,0,,1,,,,5041,,712,0.166667,0,445,,1,4,6544,188,,,,,42782,53414,505544,11317,9844
-1,3,2,2,1,1,0,1,1,531,,2305,533,82297,0.75,258,1324,3,1,3,4638,181,,169,896,,0,596222,1267,11,40261
-1,1,4,1,11,4,8,0,3,9555,,1604,3625,113,2.5,1200,1014,0,0,1,1604,1604,,311,674,13202,60,26,177,1876,754
-1,5,0,5.2,,6,,7,,,,18808,,118,0.166667,0,577,,0,5,61072,12808,,,,,26,43314,55824,18424,44874
-1,1,4,5,0,2,0,0,1,62,,6246,978,7,2.5,260,729,0,0,1,17111,,6,77,480,3349,18,31236,12,20,16
-1,3,2,1,-1,0,0,0,1,101,,410,542,101,0.75,592,143,0,1,2,542,542,,,542,,4,4276,16,27,185
-1,0,5,,0,,1,,1,91370,,,204,,6,371,0,2,,0,,,31,244.5,469,,6386,13,9,121722,9
-1,2,3,3.5,3,4,4,3,3,2117,,11621,885,408,1.33333,315,1318,1,2,2,34850,26920,,414,1121,,18630,8,792,788,17
-1,0,5,,1,,1,,1,784,,,55,,6,326,0,0,,0,,,22,105.5,,,8,152,8,187774,7
-1,4,1,3.25,1,4,0,4,1,14,,20738,1066,20,0.4,2104,906,0,0,4,28155,27533,,,1066,,16,1582,1089,1868,34
-1,2,3,1.5,2,2,0,0,1,96604,,7585,402,6424,1.33333,328,3156,1,1,2,7613,142,1,142,1064,,9,8614,7438,10125,89
-1,4,1,2.25,1,2,0,2,1,10,,15965,279,9460,0.4,87,2214,1,0,4,21321,16949,,279,,,454180,9605,55749,86388,63135
-1,5,0,1.6,,0,,1,,,,7179,,3225,0.166667,0,694,,0,4,15632,12468,,,,,42,1231,12948,266709,2718
-1,1,4,2,1,1,1,0,2,4839,,36504,24,23,2.5,222,650,1,6,1,38248,38248,24,,,,30,13018,4412,28,18
-1,5,0,3.8,,2,,3,,,,20865,,17,0.166667,0,1022,,0,5,73058,32697,,,,,22352,15083,22096,68775,24400
-1,0,5,,2,,3,,2,16558,,,463,,6,723,0,1,,0,,,16,,612.333,,3,7,278,466,9
-1,1,4,2,5,1,5,0,1,589167,,7681,1981,193,2.5,636,1272,2,0,1,14827,14827,,,716.5,3245.5,14,19122,1537,1650,18705
-1,5,0,1,,0,,0,,,,27750,,153,0.166667,0,891,,2,5,27750,27750,,,,,360595,1359,2199,19568,1355
-1,1,4,5,1,7,0,0,1,2528,,2972,2121,72,2.5,414,318,0,0,1,9652,1023,,,659,6506,0,987,751,1310,814
-1,5,0,1.2,,0,,0,,,,6561,,128,0.166667,0,770,,0,3,6589,6589,,,,,3130,27166,125363,88727,130243
-1,0,5,,0,,0,,1,19544,,,942,,6,231,0,0,,0,,,1,211,719,3567,0,4664,15,106,2382
-1,5,0,1.6,,2,,1,,,,5406,,1638,0.166667,0,787,,3,5,5876,5423,,,,,0,59868,174711,4129,6740
-1,4,1,1.5,2,0,0,0,2,1075652,,9844,,158,0.4,369,511,0,2,4,10923,,,,,,5,97627,3121,80264,252367
-1,5,0,1,,1,,1,,,,8330,,258,0.166667,0,376,,1,4,10383,5998,,,,,78863,599496,1779,93,23
-1,5,0,1.8,,0,,0,,,,3146,,391,0.166667,0,1248,,2,4,5051,6037,,,,,0,134,218,2888,1235
-1,5,0,1.4,,1,,1,,,,50825,,70489,0.166667,0,477,,0,5,51791,7174,,,,,21686,281150,163402,82906,1762
-1,3,2,1,0,1,0,2,1,120316,,8582,1524,6487,0.75,613,4190,1,5,3,8582,8582,,,676,2371,21033,25748,60672,51,1221
-1,4,1,1.5,0,1,0,0,1,2850,,5427,684,412776,0.4,549,1031,0,1,4,10649,7558,,,684,,2367,20397,34619,2850,2629
-1,1,4,1,1,0,1,0,1,152259,,2459,2798,7,2.5,529,1415,0,0,1,2459,,,,,2797.75,156533,7,134024,60,13
-1,1,4,7,1,2,1,0,2,16,,26110,129,3,2.5,242,661,1,0,1,116315,7036,17,166.333,,,14,13,17,6,30
-1,1,4,3,1,-2,1,0,2,453,,12729,72,7,2.5,641,471,1,1,1,23958,12289,32.5,111.5,,,57,6049,116,46,518
-1,1,4,4,1,2,1,0,1,3404,,4886,881,9,2.5,253,277,2,2,1,12245,,18,341,,3146,2,4,454,630,1465
-1,3,2,2,3,0,2,0,2,31876,,8388,1089,10,0.75,414,970,2,2,3,14981,14571,,,476,1701,8,44875,12991,1587,3759
-1,5,0,1.4,,1,,0,,,,100932,,27,0.166667,0,694,,1,4,103730,194737,,,,,83275,39008,7073,4090,2886
-1,5,0,1.2,,0,,0,,,,771,,33,0.166667,0,498,,2,4,1054,,,,,,2922,657,204,156,406
-1,2,3,4.5,9,7,11,2,3,13026,,2805,20511,101,1.33333,737,782,1,0,2,7074,4855,,,,20511,50468,89,36220,1128,4
-1,5,0,1.4,,2,,2,,,,19059,,1252,0.166667,0,1056,,1,4,57934,,,,,,63,33,4276,12869,22889
-1,1,4,0,1,1,0,0,1,266804,,,54,,2.5,797,535,0,0,0,,,14.5,93,,,327045,1262,6509,9443,18863
-1,2,3,1.5,0,0,0,0,1,1951,,17931,932,39,1.33333,178,2027,0,1,2,19179,19179,58,81,,2657,15915,26,228,88259,2649
-1,3,2,1.33333,1,1,1,1,2,11720,,12851,250,3014,0.75,481,1734,1,0,2,19571,6130,41,,458,,168353,3009,27022,16164,31
-1,5,0,1.8,,1,,1,,,,9503,,65,0.166667,0,1208,,2,5,13810,4783,,,,,15,56822,16738,4520,44
-1,0,5,,1,,0,,1,180,,,7684,,6,641,0,0,,0,,,45,,662,18526,9749,290,10,695,8736
-1,2,3,2.5,1,2,1,0,2,4,,7017,265,9,1.33333,557,1691,2,3,2,12791,12453,1,91,704,,2739,43,511,6820,4190
-1,0,5,,3,,3,,2,27391,,,14472,,6,731,0,0,,0,,,,,,14471.8,10458,2897,4035,17521,2814
-1,0,5,,0,,0,,1,106013,,,189,,6,161,0,0,,0,,,1,152.667,488,,7225,6,23043,30963,78457
-1,5,0,1.8,,1,,1,,,,34921,,18,0.166667,0,593,,1,5,42745,17137,,,,,195703,207296,10409,1193,4215
-1,5,0,2.4,,1,,1,,,,48645,,342,0.166667,0,2184,,2,4,100506,19578,,,,,1,245023,464657,122256,10552
-1,0,5,,1,,1,,1,1516,,,6710,,6,257,0,1,,0,,,,398,764,10796.7,11,21514,4,6053,5658
-1,0,5,,1,,1,,1,39658,,,1092,,6,973,0,2,,0,,,9,289,,5142,32165,43,34,638,7184
-1,4,1,2,0,0,0,0,1,485,,17482,10,14,0.4,297,1781,0,1,4,46561,6301,10,,,,34506,13357,312026,485,372901
-1,0,5,,1,,1,,1,65294,,,3502,,6,297,0,0,,0,,,,245,1213,6275.5,16370,127,4,291460,102161
-1,5,0,1,,0,,0,,,,11089,,7,0.166667,0,199,,1,4,13585,12599,,,,,6,26410,8221,138490,5617
-1,0,5,,4,,5,,2,2730,,,6651,,6,781,0,0,,0,,,1,287,,26029,74,1141,289534,2895,37
-1,0,5,,1,,1,,1,20385,,,22295,,6,935,0,1,,0,,,37,,763,36891.3,112420,12,35056,651,47
-1,5,0,1,,1,,1,,,,22337,,5,0.166667,0,2018,,3,4,29246,25348,,,,,20588,25740,60,95577,12143
-1,0,5,,1,,1,,2,331,,,8520,,6,190,0,0,,0,,,57,372,,25130,11,4,2,5,163
-1,0,5,,3,,4,,3,903,,,492,,6,769,0,1,,0,,,55,161,,2029,15,7,14,25,19
-1,0,5,,0,,1,,1,164,,,691,,6,482,0,1,,0,,,23,,,3364,8,18,4011,7,11
-1,5,0,3,,0,,0,,,,28838,,5,0.166667,0,1183,,0,5,66574,28579,,,,,0,650,41027,110,5276
-1,5,0,2.2,,0,,2,,,,90415,,26,0.166667,0,461,,2,5,147226,107013,,,,,0,264,159,99,23
-1,5,0,0.8,,0,,0,,,,89230,,221,0.166667,0,343,,1,4,89230,4067,,,,,7,4704,343958,1513,90744
-1,5,0,1.4,,-2,,2,,,,3542,,42,0.166667,0,755,,3,4,4540,,,,,,10,735,216,1539,2978
-1,0,5,,1,,1,,1,180014,,,2325,,6,734,0,0,,0,,,,386,1047,4572.5,233,295968,336965,4,9
-1,4,1,1.75,0,1,0,1,1,37,,67479,11,22,0.4,500,1935,0,2,4,69008,89761,11,,,,76708,32,338178,8642,26303
-1,2,3,2.5,0,1,0,1,1,131,,3342,333,32,1.33333,140,972,1,6,2,7349,7349,1,86,913,,11,85,8,7,5949
-1,0,5,,4,,4,,3,66,,,1354,,6,263,0,0,,0,,,,287.5,1409,3433,1562,109,170,1202,20
-1,4,1,4.75,2,6,0,5,1,7289,,10533,165,1858,0.4,333,350,0,1,4,41116,42341,,165,,,264728,37542,234304,20235,7289
-1,0,5,,8,,9,,2,1108,,,26447,,6,445,0,1,,0,,,,88,,33036.5,12563,8612,28,388,9706
-1,0,5,,1,,0,,1,33841,,,2629,,6,512,0,0,,0,,,65,97,,4328.33,5,63520,18,24445,11
-1,1,4,2,3,0,2,0,2,39802,,14257,5201,22,2.5,717,361,1,1,1,25361,3152,,311,,10090,4,17562,2602,56,25
-1,4,1,3,1,16,0,25,1,13,,2571,361,10,0.4,107,670,0,0,4,6670,1904,,361,,,0,1010,300,5704,13
-1,4,1,1.75,0,1,0,1,1,551,,2659,1,833,0.4,663,1395,1,0,4,5866,553,1,,,,3,397,440,100211,54201
-1,3,2,1.66667,0,2,0,2,1,9519,,4845,87,7076,0.75,299,3733,0,1,3,9619,70,,87,,,39,20845,18170,10024,868
-1,3,2,2.66667,1,1,0,1,1,4048,,4715,31,9,0.75,245,495,2,0,3,11244,,31,,,,3,6862,44341,1233,19674
-1,1,4,2,1,1,1,0,2,7623,,6308,4968,12,2.5,242,516,0,0,1,11824,11824,,213,1374,13317,447283,3,4,50318,9
-1,0,5,,0,,0,,1,11,,,1186,,6,591,0,0,,0,,,11,439,1383,2049.5,15,12,1094,68,1319
-1,3,2,0.333333,3,1,1,1,5,27,,162750,357,2,0.75,561,581,2,2,1,162750,162750,27,,687,,116291,92077,292469,6070,93870
-1,0,5,,1,,1,,1,36764,,,7362,,6,515,0,2,,0,,,15,322,448,35701,0,86018,161281,242220,56
-1,0,5,,2,,1,,2,2078,,,2999,,6,466,0,1,,0,,,,305,,4346,75,10048,5,68,1087
-1,0,5,,0,,0,,1,210662,,,4211,,6,524,0,0,,0,,,12,,,7010.33,24,15,59,265,27
-1,2,3,2.5,6,2,7,2,3,150213,,34404,1189,7,1.33333,233,1004,1,0,2,81649,38274,11,,1568,1989,7,68654,2679,328,5435
-1,5,0,0.4,,0,,0,,,,9477,,10,0.166667,0,1234,,1,2,9477,9477,,,,,3,616,1100,55913,102
-1,5,0,2.2,,0,,2,,,,28765,,9,0.166667,0,763,,5,5,32247,31196,,,,,2,40,163,77,13177
-1,3,2,2,0,0,1,0,1,103,,15237,1301,8,0.75,212,1068,0,0,3,21325,12268,,,1300.5,,6,831,5643,8,1124
-1,0,5,,1,,2,,1,130170,,,4246,,6,533,0,0,,0,,,17,,972.5,9634.5,0,65540,43955,3,4357
-1,4,1,5,1,2,0,1,1,1262461,,35346,5136,2,0.4,611,780,0,3,4,117826,15125,,,,5136,9923,1653,20340,47133,750455
-1,0,5,,27,,53,,1,24,,,546,,6,1191,0,3,,0,,,,236,1011.5,,12195,4,812,2243,1116
-1,2,3,0.5,0,1,0,1,1,18,,74315,343,7,1.33333,351,400,1,3,1,74315,74315,13,338,677,,5,4,17,3,11863
-1,3,2,2.33333,0,2,0,1,1,68448,,7957,1265,9,0.75,306,464,0,0,3,9593,6167,,324,,2205,5,3272,87385,3916,571
-1,2,3,1,0,2,0,0,1,301694,,4786,1185,1616,1.33333,574,517,0,0,2,4786,4786,58,101,,3395,31,2799,442,81358,244
-1,2,3,5.5,0,8,0,5,1,71,,7749,4023,5,1.33333,314,519,0,1,2,22238,151,,317,,5876.5,9,5435,25,2786,10860
-1,5,0,1.4,,2,,2,,,,51707,,11,0.166667,0,752,,2,4,94037,71498,,,,,10,73,220,484,1403
-1,0,5,,2,,2,,1,945,,,1662,,6,267,0,1,,0,,,27,,887.5,6482,0,105078,11290,10597,3139
-1,1,4,2,2,0,0,0,3,65,,8792,533,10,2.5,262,653,1,0,1,13666,13666,,248.5,1103,,4308,1401,1275,329,2633
-1,3,2,0.666667,0,0,0,0,1,12,,16120,485,11,0.75,578,1825,1,0,1,31428,31428,23,,946,,293948,1215,137422,59359,1647
